video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=L4iK7R2H848&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@KXNewsND,KX News,Silk Road Ensemble travels to Standing Rock to learn about Lakota and Dakotas culture,932,3 years,Silk Road Ensemble travels to Standing Rock to learn about Lakota and Dakotas culture.,2026-01-20 19:16:43.829653
/watch?v=YYcl7AKSjxI&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,"Standing Rock Special: Dakota Excess Pipeline? Media & Water Protectors Face Strip Searches, Jail",13K,9 years,http://democracynow.org - Today we're revisiting Democracy Now! reports on the ongoing standoff at Standing Rock in North ...,2026-01-20 19:16:43.830124
/watch?v=H-khEt3WK-M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Standing Rock,3.3K,8 years,Demonstrators remain to protest Donald Trump's approval of the Dakota Access pipeline. But Standing Rock Sioux Tribe leaders ...,2026-01-20 19:16:43.830580
/watch?v=RG6Oei0bMQY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@StandingRockPoloTeam,Standing Rock Polo Team,"Standing Rock - Meeting Ernie Lapointe ""Crow Foot"" Great-Grandson of Sitting Bull",No,5 hours,"Meeting in South Dakota in October 2024, Ernie Lapointe ""Crow Foot"" Great-Grandson of Sitting Bull and Philipp Müller Image ...",2026-01-20 19:16:43.830993
/shorts/Atxkdjc4TA4,/@bioneers,Bioneers,Standing Rock Update: Kandi White,443,1 year,The Standing Rock Resistance stands as a powerful testament to the fight for justice and environmental protection. In 2016 ...,2026-01-20 19:16:43.831460
/watch?v=pTKpnuLr5lw&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Standing Rock Sioux Tribe Chair: Obama's Legacy Rests on Whether He Stops Dakota Access Pipeline,10K,9 years,http://democracynow.org - A federal appeals court recently rejected a bid by the Standing Rock Sioux Tribe to permanently halt ...,2026-01-20 19:16:43.833088
/watch?v=Th69Q4Be_Rk&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@telesurenglish,TeleSUR English,Maya Solidarity Against DAPL at Standing Rock,31K,9 years,"Maya Ancestral Authorities, representing a mandate of their people, traveled to Standing Rock because they know the struggle.",2026-01-20 19:16:43.833759
/watch?v=5bZFh1ZcY2U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KOCO,KOCO 5 News,"Religious, tribal leaders stand in support of Standing Rock Sioux Pipeline Resistance",578,9 years,"Religious and tribal leads met Wednesday in Oklahoma City to show support for the Standing Rock Sioux Pipeline Resistance, ...",2026-01-20 19:16:43.834291
/watch?v=wjrfoOFL9Vs&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Standing Rock Sioux Chair Hails Army Corps of Engineers Decision to Reroute Dakota Access Pipeline,13K,9 years,"http://democracynow.org - In an historic win for the Standing Rock Sioux Tribe in North Dakota and the environment, the U.S. Army ...",2026-01-20 19:16:43.835061
/watch?v=CYnLOCelzjw&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ajplus,AJ+,UW Madison Basketball Star Stands With Standing Rock,6K,9 years,"Bronson Koenig is a basketball player, a hero in the Native American community and an advocate for indigenous issues. On Sept.",2026-01-20 19:16:51.409462
/watch?v=XJszzwogSMI&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@nytimes,The New York Times,Standing Rock Celebrates Halted Pipeline | The Daily 360 | The New York Times,13K,9 years,Stand in a drum circle at the Oceti Sakowin camp just after the Army announced on Sunday that it would explore alternative routes ...,2026-01-20 19:16:51.410225
/watch?v=kfH8t1FpXD4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@wsbtv,WSB-TV,Thousands Across the Nation Show Support for Standing Rock Indian Reservation,853,9 years,Thousands are checking in on Facebook to the Dakota reservation to throw police off of being able to identify protesters.,2026-01-20 19:16:51.410883
/watch?v=srrnS33wfpg&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBSNews,CBS News,Standing Rock protesters leave camp,877,8 years,"Authorities arrested at least 10 who defied Wednesday's leaving orders. Subscribe to the ""CBSN"" Channel HERE: ...",2026-01-20 19:16:51.411580
/watch?v=I3P27m-etfE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,A Violation of Tribal & Human Rights: Standing Rock Chair Slams Approval of Dakota Access Pipeline,14K,8 years,http://democracynow.org - The U.S. Army Corps of Engineers said Tuesday it will greenlight the final phase of construction for the ...,2026-01-20 19:16:51.412270
/watch?v=S4AzezTWwd4&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@TheYoungTurks,The Young Turks,"Standing Rock Drone Footage Looks Bad, So Government Bans It",255K,9 years,The US government is doing everything it can to sweep this whole Standing Rock thing under the rug. Cenk Uygur and Ana ...,2026-01-20 19:16:51.413569
/watch?v=R4zJ1f0qty0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CNN,CNN,Veterans stand in solidarity in Standing Rock,2.5K,9 years,"Thousands of veterans came to Standing Rock, North Dakota in freezing conditions to stand against the Dakota Access Pipeline's ...",2026-01-20 19:16:51.414286
/watch?v=iAMLtiBKNJE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@FOX23NewsTulsa,FOX23 News Tulsa,VIDEO: Tulsa protesters stand with those in Standing Rock,83,9 years,They are protesting the Dakota Access Pipeline.,2026-01-20 19:16:51.414910
/watch?v=gW8qYSVECNc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Cornel West: I Am Heading to Standing Rock to Show Solidarity With Historic Indigenous Uprising,23K,9 years,http://democracynow.org - Amnesty International is calling on the U.S. Justice Department to investigate the violent police ...,2026-01-20 19:16:51.417693
/watch?v=gWGkKS2pUUw&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KXNewsND,KX News,Football: Standing Rock Moves on With a Win over McLaughlin,1K,3 years,"Football: Standing Rock Moves on With a Win over McLaughlin Stay informed about Western North Dakota news, weather and ...",2026-01-20 19:16:51.418438
/watch?v=Scv3zqF-qn0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@uctv,University of California Television (UCTV),Water Is Life: Standing with Standing Rock - Media,621,8 years,Visit: http://www.uctv.tv) Events at Standing Rock from April 2016 to February 2017 altered the media landscape. To discuss that ...,2026-01-20 19:16:51.419411
/watch?v=VLbkrBuHOHU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@WMUR,WMUR-TV,"Thursday, January 26th: Images from Standing Rock",315,8 years,How one Granite Stater became a witness to history. Subscribe to WMUR on YouTube now for more: http://bit.ly/1lOjX9C Get more ...,2026-01-20 19:16:51.420107
/watch?v=JBiBI64O-i0&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@KXNewsND,KX News,Standing Rock Emergency,63,6 years,Standing Rock Emergency.,2026-01-20 19:16:51.420820
/watch?v=zbYfJdK8SuM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@huffpost,HuffPost,Standing Rock: Part One | The Turnaround: Your World in 360,20K,9 years,"WATCH PART TWO HERE: https://youtu.be/zbYfJdK8SuM In this episode of The Turnaround: Your World in 360, we take you to ...",2026-01-20 19:16:51.421496
/watch?v=rUs0P0bL4us&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CNN,CNN,ND:OBAMA STANDING ROCK SIOUX INDIAN RESERVATION,1.5K,9 years,"To License This Clip, Click Here: http://collection.cnn.com/content/clip/37055274_001.do.",2026-01-20 19:16:51.422185
/watch?v=vuurtEX5Za4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Standing Rock Special: Dallas Goldtooth on Police Violence & Repression of Movement Against DAPL,47K,9 years,http://democracynow.org - We continue our look back at Democracy Now!'s coverage of the ongoing standoff at Standing Rock in ...,2026-01-20 19:16:51.422867
/watch?v=ycupu6z4gEE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,The Stream - Pipeline standoff at Standing Rock,84K,9 years,On The Stream: Native Americans protest a massive oil pipeline in the US state of North Dakota.,2026-01-20 19:16:51.425909
